,random_state,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,learning_rate,criterion,ID
0,1973,100,90.0,59.0,sqrt,17.0,0.04,friedman_mse,GBC-0001
1,1973,300,0.6,17.0,log2,8.0,0.02,friedman_mse,GBC-0002
2,1973,200,91.0,71.0,sqrt,33.0,0.08,friedman_mse,GBC-0003
3,1973,400,96.0,90.0,sqrt,89.0,0.05,friedman_mse,GBC-0004
4,1973,250,0.1,35.0,log2,26.0,0.05,friedman_mse,GBC-0005
5,1973,200,25.0,68.0,log2,99.0,0.04,friedman_mse,GBC-0006
6,1973,100,99.0,61.0,sqrt,80.0,0.04,friedman_mse,GBC-0007
7,1973,500,69.0,30.0,log2,94.0,0.06999999999999999,friedman_mse,GBC-0008
8,1973,450,11.0,13.0,log2,72.0,0.09,friedman_mse,GBC-0009
9,1973,200,94.0,14.0,log2,97.0,0.06999999999999999,friedman_mse,GBC-0010
10,1973,500,13.0,1.0,sqrt,58.0,0.01,friedman_mse,GBC-0011
11,1973,300,44.0,69.0,log2,94.0,0.04,friedman_mse,GBC-0012
12,1973,300,62.0,22.0,sqrt,6.0,0.08,friedman_mse,GBC-0013
13,1973,200,79.0,63.0,sqrt,92.0,0.08,friedman_mse,GBC-0014
14,1973,150,53.0,70.0,sqrt,78.0,0.03,friedman_mse,GBC-0015
15,1973,200,84.0,36.0,log2,76.0,0.06999999999999999,friedman_mse,GBC-0016
16,1973,300,7.0,60.0,log2,68.0,0.08,friedman_mse,GBC-0017
17,1973,400,13.0,79.0,log2,99.0,0.03,friedman_mse,GBC-0018
18,1973,100,0.6,80.0,sqrt,17.0,0.08,friedman_mse,GBC-0019
19,1973,150,31.0,46.0,log2,64.0,0.060000000000000005,friedman_mse,GBC-0020
20,1973,550,0.30000000000000004,22.0,sqrt,64.0,0.02,friedman_mse,GBC-0021
21,1973,300,0.4,63.0,log2,19.0,0.09,friedman_mse,GBC-0022
22,1973,500,82.0,39.0,sqrt,71.0,0.04,friedman_mse,GBC-0023
23,1973,300,60.0,93.0,log2,62.0,0.01,friedman_mse,GBC-0024
24,1973,350,74.0,73.0,log2,68.0,0.02,friedman_mse,GBC-0025
25,1973,450,94.0,26.0,sqrt,8.0,0.02,friedman_mse,GBC-0026
26,1973,500,86.0,26.0,sqrt,27.0,0.06999999999999999,friedman_mse,GBC-0027
27,1973,200,92.0,70.0,sqrt,10.0,0.060000000000000005,friedman_mse,GBC-0028
28,1973,200,79.0,0.30000000000000004,log2,95.0,0.060000000000000005,friedman_mse,GBC-0029
29,1973,350,22.0,6.0,log2,90.0,0.09,friedman_mse,GBC-0030
30,1973,350,85.0,30.0,log2,57.0,0.09,friedman_mse,GBC-0031
31,1973,350,56.0,18.0,sqrt,9.0,0.06999999999999999,friedman_mse,GBC-0032
32,1973,100,86.0,0.4,log2,46.0,0.08,friedman_mse,GBC-0033
33,1973,350,46.0,75.0,log2,52.0,0.03,friedman_mse,GBC-0034
34,1973,350,85.0,7.0,sqrt,71.0,0.02,friedman_mse,GBC-0035
35,1973,550,3.0,32.0,log2,67.0,0.04,friedman_mse,GBC-0036
